,Value
name,"Amazon.com, Inc."
sector,Consumer Cyclical
industry,Internet Retail
employees,1576000
website,https://www.amazon.com
country,United States
price,204.86
week_52_high,258.6
week_52_low,161.38
market_cap_b,2199.16
pe_trailing,28.571827
pe_forward,22.113297
ps_ratio,3.0674882
pb_ratio,5.347987
ev_ebitda,15.471
eps_ttm,7.17
gross_margin_pct,50.29
net_margin_pct,10.83
op_margin_pct,10.53
roe_pct,22.29
roa_pct,6.93
revenue_growth_pct,13.6
earnings_growth_pct,5.0
debt_equity,43.435
current_ratio,1.051
quick_ratio,0.844
dividend_yield_pct,
payout_ratio_pct,0.0
beta,1.385
fetched_at,2026-02-20T04:08:52.158773
source,yfinance
