,Value
name,NVIDIA Corporation
sector,Technology
industry,Semiconductors
employees,36000
website,https://www.nvidia.com
country,United States
price,188.665
week_52_high,212.19
week_52_low,86.62
market_cap_b,4593.67
pe_trailing,46.701733
pe_forward,24.31714
ps_ratio,24.545141
pb_ratio,38.56807
ev_ebitda,40.074
eps_ttm,4.04
gross_margin_pct,70.05
net_margin_pct,53.01
op_margin_pct,63.17
roe_pct,107.36
roa_pct,53.53
revenue_growth_pct,62.5
earnings_growth_pct,66.7
debt_equity,9.102
current_ratio,4.468
quick_ratio,3.605
dividend_yield_pct,2.0
payout_ratio_pct,0.99
beta,2.314
fetched_at,2026-02-20T10:06:12.188366
source,yfinance
